year,species,grazing_days,manure_treatment,fertility_rate
2018,dairy cows,0,NA,0
2018,cattle,365,NA,0.95
2018,swine,365,NA,12
2018,chicken,0,NA,0
2018,turkeys,0,NA,0
2018,sheep,0,NA,3
2018,goats,365,NA,3
2018,ducks,0,NA,0
2019,dairy cows,0,NA,0
2019,cattle,365,NA,0.95
2019,swine,365,NA,12
2019,chicken,0,NA,0
2019,turkeys,0,NA,0
2019,sheep,0,NA,3
2019,goats,365,NA,3
2019,ducks,0,NA,0
2020,dairy cows,0,NA,0
2020,cattle,365,NA,0.95
2020,swine,365,NA,12
2020,chicken,0,NA,0
2020,turkeys,0,NA,0
2020,sheep,0,NA,3
2020,goats,365,NA,3
2020,ducks,0,NA,0
2021,dairy cows,0,NA,0
2021,cattle,365,NA,0.95
2021,swine,365,NA,12
2021,chicken,0,NA,0
2021,turkeys,0,NA,0
2021,sheep,365,NA,3
2021,goats,365,NA,3
2021,ducks,0,NA,0
2022,dairy cows,0,NA,0
2022,cattle,365,NA,0.95
2022,swine,365,NA,12
2022,chicken,0,NA,0
2022,turkeys,0,NA,0
2022,sheep,365,NA,3
2022,goats,365,NA,3
2022,ducks,0,NA,0
2023,dairy cows,0,NA,0
2023,cattle,365,NA,0.95
2023,swine,365,NA,12
2023,chicken,0,NA,0
2023,turkeys,0,NA,0
2023,sheep,365,NA,3
2023,goats,365,NA,3
2023,ducks,0,NA,0
