year,parcel_name,parcel_id,type,sub_type,other,amount_t,units,percent_imported
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,biochar,NA,NA,0,tonnes,0
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,compost,NA,NA,0,tonnes,0
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,manure,NA,NA,0,tonnes,0
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,mulch,NA,NA,0,tonnes,0
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,slurry,NA,NA,0,litres,0
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,other,NA,NA,0,tonnes,NA
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,biochar,NA,NA,0,tonnes,0
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,compost,NA,NA,0,tonnes,0
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,manure,NA,NA,0,tonnes,0
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,mulch,NA,NA,0,tonnes,0
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,slurry,NA,NA,0,litres,0
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,other,NA,NA,0,tonnes,NA
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,biochar,NA,NA,0,tonnes,0
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,compost,NA,NA,0,tonnes,0
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,manure,NA,NA,0,tonnes,0
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,mulch,NA,NA,0,tonnes,0
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,slurry,NA,NA,0,litres,0
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,other,NA,NA,0,tonnes,NA
