year,parcel_name,parcel_id,percent_area,category,date,amount,units,dry
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2018-02-01,0.06,kg/m² - dry,TRUE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,2018-09-01,0.06,kg/m² - dry,TRUE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,productivity,NA,0.06,kg/m² - dry,TRUE
2018,parcel3,c0133b63-ccc1-4df2-96ad-34394be98857,100,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2018-02-01,0.06,kg/m² - dry,TRUE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,2018-09-01,0.06,kg/m² - dry,TRUE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,productivity,NA,0.06,kg/m² - dry,TRUE
2018,parcel4,2ce942de-c828-4bd1-b952-7cf4ab7bda50,100,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel5,a4d38620-6c13-4754-93a3-c58d2bac76fb,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel6,2cab2226-8037-4d3e-adcd-b3116bb5ec17,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,productivity,NA,0,kg/m² - fresh,FALSE
2018,parcel7,c8cc07d9-a08d-4e3d-ae1f-d791f7937590,0,harvest,NA,0,tonnes - fresh,FALSE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2018-02-01,0.06,kg/m² - dry,TRUE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2018-09-01,0.06,kg/m² - dry,TRUE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,productivity,2018-04-01,0.06,kg/m² - dry,TRUE
2018,parcel1,9815d0ed-21b1-4267-a8e6-76e19be7de5b,100,harvest,NA,0,tonnes - fresh,FALSE
2019,parcel2,7ad2c172-090b-4197-9bb5-b21eeedecc2e,0,productivity,NA,0,kg/m² - fresh,FALSE
